station,date,xnd,settled_high,our_mean,our_sd,mkt_mean,mkt_sd,truth_centre,our_loc_err,mkt_loc_err,our_tail_p,mkt_tail_p,tail_settled,our_modal,mkt_modal,true_leg
KAUS,2026-05-24,3.0,89,85.23464797447265,2.8456718250940254,87.97087378640778,2.0613470507611718,89.0,-3.765352025527349,-1.029126213592221,0.2583443774068527,0.7572815533980584,1.0,3,0,0
KAUS,2026-05-25,2.0,89,90.3697370170328,2.3436897873647364,89.53960396039604,1.7564353645059887,89.5,0.8697370170328043,0.039603960396036086,0.08602087275552465,0.029702970297029705,0.0,4,4,4
KAUS,2026-05-26,1.0,88,88.34962284823582,1.624867858014754,89.24365482233502,1.8133802865349278,87.5,0.8496228482358248,1.7436548223350172,0.08734888773248599,0.05583756345177666,0.0,5,4,5
KAUS,2026-05-27,6.0,77,83.68625082867743,3.918899097241343,84.24889867841411,2.476486092952787,79.0,4.68625082867743,5.248898678414108,0.4446246387900422,0.09691629955947137,1.0,1,4,1
KAUS,2026-05-28,5.0,90,88.60598209809802,3.6669776436131105,90.13366336633662,1.9054261874931568,90.5,-1.8940179019019752,-0.36633663366338,0.3781790380796872,0.04950495049504951,0.0,1,3,3
KAUS,2026-05-29,5.0,91,92.39522219737556,3.7081026897999623,92.48029556650248,1.684354522939236,91.5,0.8952221973755599,0.9802955665024768,0.36086853169219896,0.01970443349753695,0.0,1,3,4
KAUS,2026-05-30,5.0,89,92.60598209809802,3.6669776436131105,90.72388059701493,1.903028972276832,88.0,4.605982098098025,2.723880597014926,0.3781790380796872,0.2388059701492537,1.0,1,5,1
KAUS,2026-05-31,5.0,90,92.39522219737556,3.7081026897999623,91.85714285714286,1.8377189350805911,89.5,2.89522219737556,2.357142857142861,0.36086853169219896,0.03809523809523809,0.0,1,4,5
KAUS,2026-06-01,5.0,92,93.84287960889654,3.5617699171418153,92.82608695652172,1.8865646646708023,92.5,1.3428796088965385,0.3260869565217206,0.42099023148191206,0.2077294685990338,0.0,1,5,5
KAUS,2026-06-02,4.0,94,92.52087458060346,3.338327847683921,92.25471698113206,1.6176288304514936,94.5,-1.9791254193965386,-2.245283018867937,0.299560811392752,0.02830188679245283,0.0,4,4,3
KAUS,2026-06-03,4.0,89,89.38527547464274,3.3784876022520947,89.0399061032864,2.5174608995682077,88.5,0.8852754746427394,0.5399061032863983,0.2767002896184971,0.11267605633802819,0.0,4,4,4
KAUS,2026-06-04,2.0,87,87.36973701703282,2.3436897873647364,86.69230769230771,2.085405281324646,86.5,0.8697370170328185,0.1923076923077076,0.08602087275552465,0.06666666666666668,0.0,4,4,4
KAUS,2026-06-05,2.0,87,85.38303218240088,2.330591321331995,85.80045871559632,1.913939635201351,87.5,-2.116967817599118,-1.6995412844036792,0.11338292117968253,0.04128440366972477,0.0,4,4,3
KAUS,2026-06-06,3.0,92,87.37606085302104,2.935580468338567,88.863184079602,1.609189348445212,93.0,-5.623939146978955,-4.136815920398007,0.18120508693444026,0.019900497512437814,1.0,4,3,0
KAUS,2026-06-07,3.0,91,89.44050043325414,2.9040167780209862,91.56603773584905,2.1241818310601834,91.5,-2.059499566745856,0.0660377358490507,0.209222901325555,0.0660377358490566,0.0,4,3,3
KAUS,2026-06-08,2.0,89,90.38303218240088,2.330591321331995,90.91216216216216,2.030218958326534,88.5,1.883032182400882,2.4121621621621614,0.11338292117968253,0.04954954954954955,0.0,4,4,5
KAUS,2026-06-09,2.0,93,91.40377647964611,2.2882294325236416,93.03381642512076,1.900627006921758,92.5,-1.0962235203538881,0.5338164251207616,0.19308140771271134,0.05314009661835748,0.0,5,4,4
KAUS,2026-06-10,2.0,91,92.40377647964611,2.2882294325236416,92.82682926829267,1.677109067565142,91.5,0.9037764796461119,1.32682926829267,0.19308140771271134,0.06829268292682927,0.0,5,4,5
KAUS,2026-06-11,2.0,93,93.40377647964611,2.2882294325236416,93.69587628865979,1.9171723984331874,92.5,0.9037764796461119,1.1958762886597896,0.19308140771271134,0.09278350515463918,0.0,5,4,5
KAUS,2026-06-12,2.0,95,92.45546089428359,2.1854428792108305,93.17772511848341,1.875996175251601,94.5,-2.04453910571641,-1.3222748815165914,0.3373988368364755,0.14218009478672983,0.0,5,5,4
KAUS,2026-06-13,2.0,94,92.40377647964611,2.2882294325236416,93.76811594202897,1.9385107651383948,93.5,-1.0962235203538881,0.26811594202897027,0.19308140771271134,0.05314009661835749,0.0,5,4,4
KAUS,2026-06-14,3.0,92,91.52874128528092,2.8164851307451575,92.17857142857142,1.9952111033519175,92.5,-0.9712587147190845,-0.3214285714285836,0.2816867025020879,0.09183673469387756,0.0,5,4,4
KAUS,2026-06-15,3.0,84,83.67124320666849,2.6602281463511255,83.08293838862558,2.3555908871201847,83.5,0.17124320666849258,-0.41706161137442166,0.39442785523777163,0.48341232227488146,0.0,1,1,5
KAUS,2026-06-16,3.0,91,85.52874128528093,2.8164851307451575,86.45852534562212,2.3502394506015873,90.5,-4.97125871471907,-4.041474654377879,0.2816867025020879,0.09216589861751151,0.0,5,4,2
KAUS,2026-06-17,2.0,90,91.38303218240087,2.330591321331995,92.93718592964825,2.1530215114454263,89.5,1.8830321824008678,3.437185929648251,0.11338292117968253,0.07035175879396985,0.0,4,3,5
KAUS,2026-06-18,1.0,97,96.34962284823581,1.624867858014754,97.23232323232321,1.957648985923299,97.5,-1.1503771517641894,-0.2676767676767895,0.08734888773248599,0.0606060606060606,0.0,4,3,3
KAUS,2026-06-19,2.0,88,93.40377647964611,2.2882294325236416,92.06410256410257,1.9999342526997306,90.0,3.403776479646112,2.064102564102569,0.19308140771271134,0.3897435897435897,1.0,5,5,1
KAUS,2026-06-20,4.0,90,90.68472788000767,3.2333808030784392,90.31400966183574,2.205164526578148,89.5,1.1847278800076708,0.8140096618357404,0.35655619191143284,0.18840579710144922,0.0,1,5,5
KAUS,2026-06-21,2.0,93,91.59928644907731,1.9794863136025949,91.37864077669903,1.9118511583125775,92.5,-0.9007135509226885,-1.1213592233009706,0.5304088342806875,0.5825242718446602,0.0,1,1,5
KAUS,2026-06-22,2.0,94,94.40377647964611,2.2882294325236416,94.83168316831684,1.6392119993538377,93.5,0.9037764796461119,1.331683168316843,0.19308140771271134,0.0594059405940594,0.0,5,4,5
KAUS,2026-06-23,2.0,94,95.38303218240088,2.330591321331995,94.73750000000001,1.816547205552336,93.5,1.883032182400882,1.2375000000000114,0.11338292117968253,0.08500000000000002,0.0,4,4,5
KAUS,2026-06-24,2.0,93,95.38303218240088,2.330591321331995,95.1425120772947,1.669629097230252,93.5,1.883032182400882,1.6425120772946968,0.11338292117968253,0.028985507246376815,0.0,4,4,5
KAUS,2026-06-25,2.0,93,95.38303218240088,2.330591321331995,94.3076923076923,1.8131566347804926,93.5,1.883032182400882,0.8076923076923066,0.11338292117968253,0.10576923076923077,0.0,4,5,5
KAUS,2026-06-26,2.0,95,96.38303218240088,2.330591321331995,95.07070707070706,1.8139611505229571,94.5,1.883032182400882,0.5707070707070585,0.11338292117968253,0.1212121212121212,0.0,3,4,4
KAUS,2026-06-27,2.0,95,96.38303218240088,2.330591321331995,95.68750000000003,1.6389013381390127,94.5,1.883032182400882,1.1875000000000284,0.11338292117968253,0.03846153846153848,0.0,3,4,4
KAUS,2026-06-28,2.0,95,97.3697370170328,2.3436897873647364,95.80975609756098,1.5804915688000951,94.5,2.8697370170328043,1.309756097560978,0.08602087275552465,0.03414634146341464,0.0,3,3,4
KAUS,2026-06-29,2.0,97,98.38303218240088,2.330591321331995,96.75943396226415,1.900510274174489,96.5,1.883032182400882,0.25943396226415416,0.11338292117968253,0.1886792452830189,0.0,2,3,3
KAUS,2026-06-30,2.0,96,95.38303218240088,2.330591321331995,94.9,1.357343343587374,95.5,-0.116967817599118,-0.5999999999999943,0.11338292117968253,0.009523809523809523,0.0,4,4,4
KAUS,2026-07-01,3.0,96,96.37606085302104,2.935580468338567,95.92364532019704,1.290485268758245,95.5,0.8760608530210447,0.42364532019703915,0.18120508693444026,0.009852216748768471,0.0,4,4,4
KAUS,2026-07-02,2.0,96,95.38303218240088,2.330591321331995,96.05072463768116,1.380011536926409,95.5,-0.116967817599118,0.5507246376811565,0.11338292117968253,0.01932367149758454,0.0,4,4,4
KAUS,2026-07-03,2.0,98,97.3697370170328,2.3436897873647364,96.56971153846155,1.5822622295131068,98.5,-1.1302629829671957,-1.9302884615384528,0.08602087275552465,0.03365384615384616,0.0,3,3,2
KAUS,2026-07-04,2.0,97,97.3830321824009,2.330591321331995,98.47441860465118,1.3886739572894233,97.5,-0.1169678175991038,0.9744186046511771,0.11338292117968253,0.013953488372093023,0.0,3,2,3
KAUS,2026-07-05,3.0,96,98.31415098145352,2.9173541902391413,97.86792452830187,1.588285367746729,96.5,1.8141509814535226,1.3679245283018702,0.19751063265686764,0.028301886792452827,0.0,2,2,3
KAUS,2026-07-06,3.0,98,98.31415098145352,2.9173541902391413,95.68075117370893,2.246845550698981,98.5,-0.1858490185464774,-2.819248826291073,0.19751063265686764,0.19248826291079812,0.0,2,3,2
KAUS,2026-07-07,3.0,98,97.37606085302104,2.935580468338567,97.23737373737372,1.971826096097135,98.5,-1.1239391469789553,-1.2626262626262843,0.18120508693444026,0.0707070707070707,0.0,3,2,2
KAUS,2026-07-08,2.0,99,97.3830321824009,2.330591321331995,98.56103286384977,1.5799604392295068,99.5,-2.116967817599104,-0.9389671361502252,0.11338292117968253,0.028169014084507046,0.0,3,2,2
KAUS,2026-07-09,2.0,98,97.3697370170328,2.3436897873647364,98.34313725490196,1.6367117802928306,98.5,-1.1302629829671957,-0.15686274509803866,0.08602087275552465,0.029411764705882353,0.0,3,2,2
KAUS,2026-07-10,2.0,95,95.38303218240088,2.330591321331995,93.90669856459331,2.0663985521003303,95.5,-0.116967817599118,-1.593301435406687,0.11338292117968253,0.2488038277511962,0.0,4,4,4
KAUS,2026-07-11,3.0,90,94.37606085302104,2.935580468338567,91.58536585365854,2.1665484493138556,89.0,5.376060853021045,2.585365853658544,0.18120508693444026,0.30731707317073176,1.0,4,5,1
KAUS,2026-07-12,3.0,96,93.37606085302103,2.9355804683385673,93.55418719211823,1.9875275390931548,96.5,-3.1239391469789695,-2.945812807881765,0.18120508693444026,0.02955665024630542,0.0,4,3,2
KAUS,2026-07-13,3.0,94,91.44050043325414,2.9040167780209862,91.46019900497514,2.2462590149818142,93.5,-2.059499566745856,-2.039800995024862,0.209222901325555,0.08955223880597016,0.0,4,4,3
KAUS,2026-07-14,3.0,80,86.52874128528093,2.8164851307451575,84.49532710280376,2.2412814749631744,83.0,3.5287412852809297,1.4953271028037562,0.2816867025020879,0.6168224299065421,1.0,5,1,1
KAUS,2026-07-15,3.0,80,85.37606085302104,2.935580468338567,81.62771739130434,2.2199057966993285,80.0,5.376060853021045,1.6277173913043441,0.18120508693444026,0.5815217391304347,1.0,4,1,1
KAUS,2026-07-16,3.0,90,87.37606085302104,2.935580468338567,87.57075471698113,2.570642199372509,90.5,-3.1239391469789553,-2.929245283018872,0.18120508693444026,0.11320754716981132,0.0,4,3,2
KAUS,2026-07-17,2.0,94,91.3697370170328,2.3436897873647364,92.08878504672896,1.943492717879153,94.5,-3.1302629829671957,-2.411214953271042,0.08602087275552465,0.04672897196261682,0.0,4,3,2
KAUS,2026-07-18,2.0,95,93.36973701703282,2.3436897873647364,94.95854922279793,2.3170559238639163,94.5,-1.1302629829671815,0.4585492227979273,0.08602087275552465,0.1398963730569948,0.0,4,3,3
KAUS,2026-07-19,3.0,95,95.44050043325416,2.9040167780209862,95.30952380952381,1.8124975564922148,95.5,-0.059499566745842,-0.1904761904761898,0.209222901325555,0.06666666666666667,0.0,4,4,4
KAUS,2026-07-20,3.0,97,96.37606085302104,2.935580468338567,97.30000000000003,1.771601374060042,97.5,-1.1239391469789553,-0.19999999999997442,0.18120508693444026,0.028571428571428574,0.0,4,3,3
KAUS,2026-07-21,2.0,101,99.35716851471945,2.3361685629398794,100.1826923076923,1.92348553351283,101.5,-2.142831485280553,-1.3173076923076934,0.10169466867821979,0.08653846153846155,0.0,2,2,5
KAUS,2026-07-22,2.0,104,103.35716851471945,2.3361685629398794,103.52941176470588,1.7244517617428934,103.5,-0.14283148528055278,0.029411764705884025,0.10169466867821979,0.0481283422459893,0.0,4,4,4
KAUS,2026-07-23,2.0,100,99.38303218240087,2.330591321331995,99.94642857142857,1.6973681608506115,99.5,-0.11696781759913222,0.4464285714285694,0.11338292117968253,0.03571428571428571,0.0,2,2,2
KAUS,2026-07-24,2.0,96,96.36973701703282,2.3436897873647364,96.13725490196079,1.9736708890193029,95.5,0.8697370170328185,0.6372549019607874,0.08602087275552465,0.06862745098039216,0.0,4,4,4
KAUS,2026-07-25,2.0,97,96.40377647964611,2.288229432523642,96.70370370370371,1.8665389800538204,97.5,-1.0962235203538881,-0.7962962962962905,0.19308140771271134,0.06481481481481481,0.0,4,4,3
KAUS,2026-07-26,2.0,97,97.40377647964613,2.2882294325236416,97.53980099502486,1.4823700131611566,96.5,0.9037764796461261,1.0398009950248621,0.19308140771271134,0.01990049751243781,0.0,3,3,3
KAUS,2026-07-27,2.0,98,98.38303218240088,2.330591321331995,98.37864077669902,1.7694357877247058,98.5,-0.116967817599118,-0.12135922330098481,0.11338292117968253,0.038834951456310676,0.0,2,2,2
KAUS,2026-07-28,2.0,99,99.38303218240087,2.330591321331995,98.91826923076923,1.4084405194205263,99.5,-0.11696781759913222,-0.5817307692307736,0.11338292117968253,0.019230769230769232,0.0,2,2,2
KAUS,2026-07-29,2.0,99,99.3697370170328,2.3436897873647364,98.77317073170732,1.6765272455277982,98.5,0.8697370170328043,0.2731707317073244,0.08602087275552465,0.02926829268292683,0.0,2,2,2
KAUS,2026-07-30,2.0,101,100.38303218240088,2.330591321331995,99.77570093457945,1.6684729781402436,100.5,-0.116967817599118,-0.7242990654205528,0.11338292117968253,0.03738317757009346,0.0,5,2,5
KAUS,2026-07-31,2.0,100,99.40377647964613,2.288229432523642,100.24882629107984,1.5040043679588486,100.5,-1.096223520353874,-0.2511737089201631,0.19308140771271134,0.023474178403755867,0.0,2,5,5
KAUS,2026-08-01,4.0,96,99.38527547464274,3.3784876022520947,99.48139534883721,2.0333562373291465,96.5,2.8852754746427394,2.9813953488372107,0.2767002896184971,0.037209302325581395,0.0,2,5,3
KAUS,2026-08-02,2.0,100,99.4554608942836,2.1854428792108305,99.77488151658767,1.9047917526681943,99.5,-0.044539105716395966,0.27488151658766924,0.3373988368364755,0.21800947867298578,0.0,2,2,2
KAUS,2026-08-03,3.0,102,99.9101844677455,2.4267336091842533,101.36729857819907,1.5320963555222673,102.5,-2.589815532254505,-1.132701421800931,0.5319860445379401,0.07582938388625593,0.0,1,5,4
KAUS,2026-08-04,2.0,101,100.3697370170328,2.3436897873647364,99.9009433962264,1.6667104242505495,101.5,-1.1302629829671957,-1.5990566037736045,0.08602087275552465,0.018867924528301886,0.0,2,2,5
KDEN,2026-05-24,2.0,82,81.40320861473249,2.718833101870518,81.97857142857143,2.0126428626353476,81.5,-0.09679138526750819,0.47857142857142776,0.17426757281549024,0.052380952380952375,0.0,4,4,4
KDEN,2026-05-25,2.0,85,84.33976723821998,2.731785658680299,84.60798122065728,1.930137108565943,84.5,-0.16023276178002277,0.10798122065727966,0.16122401829538277,0.03755868544600939,0.0,3,3,3
KDEN,2026-05-26,2.0,80,79.40320861473249,2.718833101870518,77.93095238095238,2.203621272364682,79.5,-0.09679138526750819,-1.5690476190476232,0.17426757281549024,0.24285714285714283,0.0,4,5,4
KDEN,2026-05-27,4.0,70,73.62167190151565,3.7436738960390197,70.77803738317758,2.359814240769588,69.0,4.621671901515654,1.7780373831775762,0.39743823309040094,0.5467289719626167,1.0,1,1,1
KDEN,2026-05-28,3.0,77,78.50712330865528,3.3237444169139327,76.11165048543688,2.08488787949678,76.5,2.007123308655281,-0.3883495145631173,0.29567340920932095,0.39805825242718446,0.0,4,1,5
KDEN,2026-05-29,4.0,83,81.62167190151565,3.7436738960390197,81.37,2.745104733885394,83.5,-1.8783280984843458,-2.1299999999999955,0.39743823309040094,0.17,0.0,1,4,3
KDEN,2026-05-30,3.0,77,75.50712330865528,3.3237444169139327,77.06038647342996,2.1047394976703764,77.5,-1.9928766913447191,-0.43961352657004227,0.29567340920932095,0.05797101449275363,0.0,4,3,3
KDEN,2026-05-31,2.0,81,80.46034949616865,2.6322454109582405,81.54411764705883,1.7762084276109131,81.5,-1.0396505038313535,0.04411764705882604,0.25384500688621553,0.0392156862745098,0.0,5,4,4
KDEN,2026-06-01,3.0,79,80.38223309602023,3.3696452071652234,79.2048780487805,1.9604567933995478,79.5,0.8822330960202294,-0.2951219512194996,0.27255604804801103,0.0731707317073171,0.0,4,4,4
KDEN,2026-06-02,4.0,74,81.62167190151565,3.7436738960390197,78.3232323232323,2.098355695013024,77.0,4.621671901515654,1.323232323232304,0.39743823309040094,0.6464646464646464,1.0,1,1,1
KDEN,2026-06-03,3.0,78,84.38223309602022,3.3696452071652234,82.67602040816325,2.5676334056297745,79.0,5.382233096020215,3.6760204081632537,0.27255604804801103,0.22959183673469385,1.0,4,4,1
KDEN,2026-06-04,1.0,88,88.35808452512444,1.8703016943672024,88.47783251231526,1.9822491160686064,88.5,-0.14191547487556022,-0.022167487684740195,0.05421833011122885,0.07389162561576354,0.0,4,4,4
KDEN,2026-06-05,3.0,86,87.87788608707724,3.0153963964774424,87.35514018691589,1.8298017687875123,85.0,2.8778860870772434,2.3551401869158894,0.43674530904974246,0.2803738317757009,1.0,1,5,1
KDEN,2026-06-06,2.0,91,93.37022056395887,2.748952880725243,92.57075471698113,1.5884884818019214,90.5,2.870220563958867,2.070754716981128,0.14337939442806202,0.03773584905660377,0.0,4,4,5
KDEN,2026-06-07,1.0,91,92.35808452512443,1.8703016943672022,92.04228855721394,1.838491902062303,90.5,1.8580845251244256,1.5422885572139364,0.05421833011122885,0.06965174129353235,0.0,4,4,5
KDEN,2026-06-08,3.0,83,86.50712330865528,3.3237444169139327,83.76168224299064,2.2022140456297157,82.0,4.507123308655281,1.761682242990645,0.29567340920932095,0.5327102803738316,1.0,4,1,1
KDEN,2026-06-09,2.0,88,93.33976723821998,2.731785658680299,91.4718309859155,1.7911244218196944,87.0,6.339767238219977,4.471830985915503,0.16122401829538277,0.028169014084507046,1.0,3,4,1
KDEN,2026-06-10,3.0,86,88.5071233086553,3.3237444169139327,88.69897959183673,1.8073543014616913,86.5,2.007123308655295,2.198979591836732,0.29567340920932095,0.04081632653061225,0.0,4,4,5
KDEN,2026-06-11,2.0,77,76.57446060685453,2.470832945038757,77.77488151658767,2.1677918877111186,76.5,0.07446060685452949,1.2748815165876692,0.37701209935025826,0.12322274881516586,0.0,1,4,5
KDEN,2026-06-12,1.0,90,90.39944512124131,1.8506193825836468,89.70370370370372,2.044116486041048,90.5,-0.10055487875868607,-0.7962962962962763,0.24134516721762614,0.17592592592592593,0.0,2,2,2
KDEN,2026-06-13,3.0,79,79.38223309602022,3.3696452071652234,79.00735294117648,2.7055126825488225,78.5,0.8822330960202152,0.5073529411764781,0.27255604804801103,0.1519607843137255,0.0,4,4,4
KDEN,2026-06-14,5.0,74,69.42088067943561,2.874642243873105,69.60280373831776,2.2848938274245585,71.0,-1.5791193205643879,-1.3971962616822395,0.736116428837836,0.6635514018691588,1.0,0,0,0
KDEN,2026-06-15,2.0,81,79.33976723821996,2.7317856586802987,80.52790697674418,1.871242042613501,81.5,-2.160232761780037,-0.9720930232558231,0.16122401829538277,0.11162790697674416,0.0,3,2,2
KDEN,2026-06-16,2.0,93,90.33976723821998,2.731785658680299,90.33009708737865,1.7138122469391173,92.5,-2.1602327617800228,-2.169902912621353,0.16122401829538277,0.019417475728155338,0.0,3,3,2
KDEN,2026-06-17,3.0,91,93.66296513863196,3.205190660182236,93.85427135678393,2.198416366235095,90.0,3.662965138631961,3.8542713567839257,0.35271417707930985,0.135678391959799,1.0,1,4,1
KDEN,2026-06-18,2.0,88,88.01206667536538,2.297088817015003,87.20876288659794,2.175656202815463,87.5,0.5120666753653751,-0.2912371134020617,0.4853913831595508,0.26288659793814434,0.0,0,2,2
KDEN,2026-06-19,3.0,83,86.66296513863196,3.205190660182236,85.64778325123152,2.12893102348894,83.0,3.662965138631961,2.647783251231516,0.35271417707930985,0.2857142857142857,1.0,1,5,1
KDEN,2026-06-20,3.0,90,93.26095425496693,3.34311292892189,91.46046511627907,2.6736561097061777,89.5,3.760954254966933,1.9604651162790674,0.28599186554953504,0.17209302325581396,0.0,3,4,5
KDEN,2026-06-21,2.0,90,88.40320861473249,2.718833101870518,88.84020618556701,1.9994153678407134,90.5,-2.096791385267508,-1.6597938144329873,0.17426757281549024,0.041237113402061855,0.0,4,4,3
KDEN,2026-06-22,2.0,89,88.33976723821996,2.7317856586802987,88.15326633165827,2.1513994240566454,88.5,-0.16023276178003698,-0.34673366834172725,0.16122401829538277,0.06030150753768844,0.0,3,3,3
KDEN,2026-06-23,4.0,82,84.39584444204775,3.788884070551895,82.33519553072625,2.423567097427718,81.5,2.8958444420477463,0.8351955307262529,0.3820251569417432,0.2290502793296089,0.0,1,5,5
KDEN,2026-06-24,4.0,91,87.93052959966131,3.666271416674602,86.17539267015707,2.7589685696512087,92.0,-4.0694704003386875,-5.824607329842934,0.42329202562080753,0.14659685863874344,1.0,0,4,0
KDEN,2026-06-25,5.0,76,77.72479740810253,4.04098506104918,74.73113207547169,2.2388871564992288,75.5,2.224797408102532,-0.7688679245283083,0.47855185557210006,0.5660377358490566,0.0,1,1,5
KDEN,2026-06-26,4.0,89,86.39584444204775,3.788884070551895,87.03535353535354,2.218781772004726,89.5,-3.1041555579522537,-2.4646464646464636,0.3820251569417432,0.07070707070707072,0.0,1,3,2
KDEN,2026-06-27,3.0,97,92.50712330865528,3.3237444169139327,94.12436548223351,1.8643095177834241,96.5,-3.992876691344719,-2.3756345177664855,0.29567340920932095,0.050761421319796954,0.0,4,3,2
KDEN,2026-06-28,3.0,94,94.26095425496695,3.34311292892189,94.62616822429908,1.8815303201203963,94.5,-0.23904574503305298,0.1261682242990787,0.28599186554953504,0.05607476635514019,0.0,3,3,3
KDEN,2026-06-29,3.0,88,89.5071233086553,3.3237444169139327,88.5995024875622,2.1945318183464795,87.5,2.007123308655295,1.099502487562205,0.29567340920932095,0.17910447761194032,0.0,4,4,5
KDEN,2026-06-30,3.0,92,90.66296513863196,3.205190660182236,90.30288461538461,1.923936106146081,91.5,-0.8370348613680392,-1.1971153846153868,0.35271417707930985,0.11538461538461536,0.0,1,5,4
KDEN,2026-07-01,2.0,89,89.37022056395888,2.7489528807252426,89.90366972477065,2.1841558991600634,88.5,0.8702205639588811,1.4036697247706513,0.14337939442806202,0.06422018348623855,0.0,4,3,4
KDEN,2026-07-02,2.0,90,91.40320861473249,2.718833101870518,91.55263157894738,1.8449738430370248,89.5,1.9032086147324918,2.052631578947384,0.17426757281549024,0.038277511961722493,0.0,4,4,5
KDEN,2026-07-03,2.0,90,92.33976723821998,2.731785658680299,91.72842639593908,1.812563056396916,90.5,1.8397672382199772,1.2284263959390813,0.16122401829538277,0.05076142131979696,0.0,3,3,4
KDEN,2026-07-04,2.0,91,90.29169444911173,2.6618943721085015,89.02849740932642,1.8282374425567223,91.5,-1.2083055508882694,-2.4715025906735804,0.2279293730246727,0.04145077720207253,0.0,3,3,2
KDEN,2026-07-05,2.0,95,92.29169444911172,2.6618943721085015,94.0566037735849,2.267303230126983,96.0,-3.7083055508882836,-1.9433962264151035,0.2279293730246727,0.4811320754716982,1.0,3,0,0
KDEN,2026-07-06,1.0,97,96.37248775958075,1.8686818192361996,96.82512315270937,1.7235572561929247,96.5,-0.12751224041925013,0.32512315270936654,0.04410614646989904,0.049261083743842374,0.0,3,3,3
KDEN,2026-07-07,2.0,97,96.01206667536538,2.297088817015003,95.622009569378,2.256451416521911,98.0,-1.987933324634625,-2.377990430622006,0.4853913831595508,0.368421052631579,1.0,0,2,0
KDEN,2026-07-08,2.0,94,91.29169444911172,2.6618943721085015,93.12857142857145,2.1519963836805465,95.0,-3.7083055508882836,-1.8714285714285523,0.2279293730246727,0.48571428571428577,1.0,3,0,0
KDEN,2026-07-09,3.0,91,89.11611000141487,3.2439635213141114,90.06650246305419,2.5025624471165693,90.5,-1.3838899985851327,-0.43349753694580784,0.33446731609276714,0.3054187192118227,0.0,0,2,2
KDEN,2026-07-10,2.0,89,89.2916944491117,2.6618943721085015,90.02941176470588,2.267982096762261,88.5,0.7916944491117022,1.529411764705884,0.2279293730246727,0.24509803921568626,0.0,3,2,3
KDEN,2026-07-11,2.0,94,96.29169444911172,2.6618943721085015,96.12376237623764,1.5872417394885228,93.5,2.7916944491117164,2.623762376237636,0.2279293730246727,0.029702970297029705,0.0,3,3,4
KDEN,2026-07-12,2.0,95,95.37022056395887,2.748952880725243,95.11238532110093,1.8380491248801278,94.5,0.8702205639588669,0.6123853211009305,0.14337939442806202,0.04128440366972478,0.0,4,4,4
KDEN,2026-07-13,2.0,97,97.33976723821996,2.7317856586802987,96.87383177570092,1.582015539734761,97.5,-0.16023276178003698,-0.6261682242990787,0.16122401829538277,0.028037383177570097,0.0,3,3,3
KDEN,2026-07-14,2.0,95,94.46034949616865,2.6322454109582405,94.68372093023257,1.9765991738875863,95.5,-1.0396505038313535,-0.8162790697674325,0.25384500688621553,0.09767441860465118,0.0,5,5,4
KDEN,2026-07-15,2.0,94,93.33976723821998,2.731785658680299,93.33177570093459,1.9218905281067333,93.5,-0.16023276178002277,-0.16822429906541458,0.16122401829538277,0.046728971962616835,0.0,3,3,3
