station,date,overround,spread,ours_ll,mkt_ll,ours_brier,mkt_brier,ours_modal,mkt_modal,ours_p_true,mkt_p_true
KAUS,2026-05-24,1.0299999999999998,0.013333333333333336,1.5024355101597389,0.2844510518703343,0.7719875206089429,0.0827127910264869,0.26922619254307484,0.7524271844660195,0.2225873856111925,0.7524271844660195
KAUS,2026-05-25,1.01,0.01,1.0652051605325774,0.7335567188978219,0.5669499830427538,0.37579649054014314,0.34465713747138893,0.4801980198019802,0.34465713747138893,0.4801980198019802
KAUS,2026-05-26,0.985,0.021666666666666667,0.7831138396804631,1.3711807233098425,0.46001704803987997,0.8322811718931176,0.45698082852435323,0.49238578680203043,0.45698082852435323,0.25380710659898476
KAUS,2026-05-27,1.135,0.02833333333333334,1.261226128006936,3.0270547446830323,0.6184793056926745,1.1397077373905955,0.2833064434877778,0.3303964757709251,0.2833064434877778,0.048458149779735685
KAUS,2026-05-28,1.01,0.016666666666666673,1.8303221031687202,0.8084580270709397,0.8588593836656818,0.43093814331928254,0.2515219536474098,0.44554455445544555,0.16036190637728331,0.44554455445544555
KAUS,2026-05-29,1.015,0.018333333333333337,1.6958323044536483,1.050526102000472,0.8024034834482922,0.6595646582057317,0.18767502516162377,0.47290640394088673,0.18344648214648418,0.3497536945812808
KAUS,2026-05-30,1.0050000000000001,0.015000000000000005,1.3802250024073954,1.4531573063490173,0.6765392891254287,0.8595826835969408,0.2515219536474098,0.41293532338308453,0.2515219536474098,0.23383084577114424
KAUS,2026-05-31,1.05,0.010000000000000004,1.9557290943873906,1.8505999692509885,0.8863738468494512,1.0120181405895692,0.18767502516162377,0.4619047619047619,0.14146130044590471,0.15714285714285714
KAUS,2026-06-01,1.0350000000000001,0.014999999999999994,1.6958323044536483,0.8001193001121134,0.8405582696443871,0.4332423160400477,0.3291363256075285,0.44927536231884047,0.18344648214648418,0.44927536231884047
KAUS,2026-06-02,1.06,0.013333333333333327,1.7123957641799241,1.9892904446855384,0.8223205230265516,1.1128070487718047,0.22738548009873616,0.5424528301886792,0.18043299947196167,0.13679245283018868
KAUS,2026-06-03,1.065,0.024999999999999994,1.5198399938496407,1.1417844605333185,0.7366387819561794,0.6042451894465385,0.2187468849991605,0.3192488262910798,0.2187468849991605,0.3192488262910798
KAUS,2026-06-04,0.9749999999999999,0.02166666666666667,1.0652051605325774,0.8070914399091629,0.5669499830427538,0.4025246548323471,0.34465713747138893,0.44615384615384623,0.34465713747138893,0.44615384615384623
KAUS,2026-06-05,1.09,0.03666666666666666,1.5686985878625808,1.2573606777439976,0.8424591522239906,0.738784614089723,0.3829481466667764,0.4311926605504587,0.20831611113923554,0.2844036697247706
KAUS,2026-06-06,1.005,0.018333333333333323,2.4693615618576605,4.204692619390966,1.0288816304088917,1.3282344496423357,0.26922619254307484,0.4577114427860697,0.08463887844401707,0.01492537313432836
KAUS,2026-06-07,1.06,0.023333333333333334,1.6081441708029829,0.9139350181816961,0.8036689793691223,0.48037557849768603,0.2860078185005824,0.40094339622641506,0.2002589157751684,0.40094339622641506
KAUS,2026-06-08,1.11,0.020000000000000004,1.4349568459745825,1.6891053151679716,0.7828400947567041,0.9151854557259962,0.3829481466667764,0.35585585585585583,0.23812563987287877,0.18468468468468469
KAUS,2026-06-09,1.0350000000000001,0.02166666666666667,1.1391077028674172,0.8553819787871627,0.6280995665054119,0.4790776914280381,0.34465713747138893,0.42512077294685985,0.320104522769314,0.42512077294685985
KAUS,2026-06-10,1.0250000000000001,0.015000000000000005,1.0652051605325774,1.1641268957787365,0.578994337101262,0.7654015466983938,0.34465713747138893,0.5317073170731706,0.34465713747138893,0.31219512195121946
KAUS,2026-06-11,0.9700000000000001,0.02666666666666666,1.0652051605325774,0.9503700455270178,0.578994337101262,0.5717398235731747,0.34465713747138893,0.42783505154639173,0.34465713747138893,0.38659793814432986
KAUS,2026-06-12,1.0550000000000002,0.01833333333333333,1.5686985878625808,1.0343700199397563,0.8865847985451896,0.6414501021989623,0.3829481466667764,0.45497630331753547,0.20831611113923554,0.3554502369668246
KAUS,2026-06-13,1.0350000000000001,0.02166666666666667,1.1391077028674172,0.8440824235332293,0.6280995665054119,0.4479451095708185,0.34465713747138893,0.429951690821256,0.320104522769314,0.429951690821256
KAUS,2026-06-14,0.98,0.033333333333333326,1.3548901952467867,0.7242377676299764,0.708535194097356,0.3540191586838818,0.26922619254307484,0.4846938775510204,0.257975619845938,0.4846938775510204
KAUS,2026-06-15,1.0550000000000002,0.011666666666666672,1.251736131121321,1.4006144148946393,0.6994111239590687,0.8364142764088855,0.3747757640487199,0.47867298578199047,0.2860078185005824,0.24644549763033172
KAUS,2026-06-16,1.085,0.011666666666666664,2.934393028238727,2.4895255956442948,1.1181604779057843,1.0784259593535646,0.26922619254307484,0.31797235023041476,0.053162977941723866,0.08294930875576037
KAUS,2026-06-17,0.995,0.021666666666666667,1.4349568459745825,2.520716102484711,0.7828400947567041,1.1297694502664073,0.3829481466667764,0.4271356783919598,0.23812563987287877,0.08040201005025126
KAUS,2026-06-18,0.9900000000000001,0.01,0.9332768914747751,0.7774075241776853,0.5874528716243327,0.4058259361289664,0.45698082852435323,0.45959595959595956,0.3932629167321269,0.45959595959595956
KAUS,2026-06-19,0.9750000000000001,0.021666666666666667,1.7034654468882773,0.9555114450274365,0.9042055326653109,0.5773044049967128,0.34465713747138893,0.41538461538461535,0.18205153968936452,0.3846153846153846
KAUS,2026-06-20,1.0350000000000001,0.018333333333333337,1.5198399938496407,1.0019854529790382,0.772021918288574,0.5472239725547854,0.29652964748211974,0.36714975845410625,0.2187468849991605,0.36714975845410625
KAUS,2026-06-21,1.03,0.013333333333333336,1.1391077028674172,1.1534888988939438,0.7535360494246299,0.8079932133094541,0.5267086771607534,0.5776699029126213,0.320104522769314,0.3155339805825243
KAUS,2026-06-22,1.01,0.013333333333333336,1.0652051605325774,1.1338804275055676,0.578994337101262,0.7628663856484658,0.34465713747138893,0.5445544554455446,0.34465713747138893,0.3217821782178218
KAUS,2026-06-23,0.9999999999999999,0.02,1.4349568459745825,1.0498221244986776,0.7828400947567041,0.6597,0.3829481466667764,0.47500000000000003,0.23812563987287877,0.35000000000000003
KAUS,2026-06-24,1.035,0.014999999999999986,1.4349568459745825,1.0986122886681098,0.7828400947567041,0.6828630773180239,0.3829481466667764,0.4589371980676329,0.23812563987287877,0.3333333333333333
KAUS,2026-06-25,1.04,0.013333333333333338,1.4349568459745825,0.7424182295667281,0.7828400947567041,0.41045673076923084,0.3829481466667764,0.47596153846153844,0.23812563987287877,0.47596153846153844
KAUS,2026-06-26,0.9900000000000001,0.019999999999999993,1.4349568459745825,0.587786664902119,0.7828400947567041,0.28191000918273645,0.3829481466667764,0.5555555555555556,0.23812563987287877,0.5555555555555556
KAUS,2026-06-27,1.0399999999999998,0.009999999999999997,1.4349568459745825,0.7628271011979351,0.7828400947567041,0.44614460059171596,0.3829481466667764,0.4663461538461539,0.23812563987287877,0.4663461538461539
KAUS,2026-06-28,1.025,0.011666666666666667,2.0008679241831206,0.9041693713418102,0.9858285111250565,0.6006900654372398,0.34465713747138893,0.49268292682926834,0.1352178734302376,0.40487804878048783
KAUS,2026-06-29,1.0599999999999998,0.010000000000000005,1.4349568459745825,0.5944123398742562,0.7828400947567041,0.2774563901744393,0.3829481466667764,0.5518867924528302,0.23812563987287877,0.5518867924528302
KAUS,2026-06-30,1.05,0.009999999999999993,0.9598556862601899,0.6375773294051346,0.4931950811689089,0.3761904761904762,0.3829481466667764,0.5285714285714286,0.3829481466667764,0.5285714285714286
