example_id                                                                | status  | run_time        |
./spec/controllers/positions_controller_spec.rb[1:4:3]                    | passed  | 0.11127 seconds |
./spec/controllers/positions_controller_spec.rb[1:4:4]                    | passed  | 0.11087 seconds |
./spec/controllers/positions_controller_spec.rb[1:5:1]                    | passed  | 0.11142 seconds |
./spec/controllers/positions_controller_spec.rb[1:5:2]                    | passed  | 0.11325 seconds |
./spec/controllers/positions_controller_spec.rb[1:6:1]                    | passed  | 0.11046 seconds |
./spec/controllers/positions_controller_spec.rb[1:6:2]                    | passed  | 0.10973 seconds |
./spec/controllers/positions_controller_spec.rb[1:7:1]                    | passed  | 0.11 seconds    |
./spec/controllers/positions_controller_spec.rb[1:7:2]                    | passed  | 0.11074 seconds |
./spec/controllers/positions_controller_spec.rb[1:7:3]                    | passed  | 0.11058 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:1:1]                     | passed  | 0.58663 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:1:2]                     | passed  | 0.27826 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:1:3]                     | passed  | 6.52 seconds    |
./spec/controllers/signal_controller_spec.rb[1:1:2:1]                     | passed  | 0.22573 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:2:2]                     | passed  | 0.16604 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:3:1]                     | passed  | 0.58879 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:3:2]                     | passed  | 0.36508 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:4:1]                     | passed  | 0.42162 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:4:2]                     | passed  | 0.36524 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:5:1]                     | passed  | 0.42185 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:5:2]                     | passed  | 0.36014 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:6:1]                     | passed  | 0.53665 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:6:2]                     | passed  | 0.50455 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:6:3]                     | passed  | 0.3341 seconds  |
./spec/controllers/signal_controller_spec.rb[1:1:7:1]                     | passed  | 0.3392 seconds  |
./spec/controllers/signal_controller_spec.rb[1:1:7:2]                     | passed  | 0.14034 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:8:1]                     | passed  | 0.33804 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:8:2]                     | passed  | 0.14176 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:9:1]                     | passed  | 0.3663 seconds  |
./spec/controllers/signal_controller_spec.rb[1:1:9:2]                     | passed  | 0.22558 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:10:1]                    | passed  | 0.11144 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:10:2]                    | passed  | 0.25174 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:10:3]                    | passed  | 0.13858 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:10:4]                    | passed  | 0.25289 seconds |
./spec/controllers/signal_controller_spec.rb[1:1:10:5]                    | passed  | 0.24977 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:1]                     | passed  | 0.38159 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:2]                     | passed  | 0.36566 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:3]                     | passed  | 0.37407 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:4]                     | passed  | 0.48858 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:5]                     | passed  | 0.4508 seconds  |
./spec/controllers/signal_controller_spec.rb[1:2:1:6]                     | passed  | 0.40662 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:1:7]                     | passed  | 0.45204 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:2:1]                     | passed  | 0.11246 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:2:2]                     | passed  | 0.1114 seconds  |
./spec/controllers/signal_controller_spec.rb[1:2:2:3]                     | passed  | 0.11191 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:2:4]                     | passed  | 0.11288 seconds |
./spec/controllers/signal_controller_spec.rb[1:2:2:5]                     | passed  | 0.11204 seconds |
